norm_time    , CharacterStatus, ECG   , HR   , RR   , Marker
  1.224050176, Walk           , 0.007 ,      ,      , 
  1.231750144, Walk           , 0.032 ,      ,      , 
  1.239450112, Walk           , 0.049 ,      ,      , 
  1.24715008 , Walk           , 0.027 ,      ,      , 
  1.252      , Walk           ,       ,      ,      , 
  1.254850048, Walk           , 0.037 ,      ,      , 
  1.262550016, Walk           , 0.069 ,      ,      , 
  1.270249984, Walk           , 0.094 ,      ,      , 
  1.277939968, Walk           , 0.111 ,      ,      , 
  1.285640192, Walk           , 0.121 ,      ,      , 
  1.29334016 , Walk           , 0.149 ,      ,      , 
  1.301040128, Walk           , 0.186 ,      ,      , 
  1.308740096, Walk           , 0.198 ,      ,      , 
  1.316440064, Walk           , 0.193 ,      ,      , 
  1.324140032, Walk           , 0.188 ,      ,      , 
  1.33184    , Walk           , 0.196 ,      ,      , 
  1.335      , Walk           ,       ,      ,      , 
  1.339529984, Walk           , 0.216 ,      ,      , 
  1.347230208, Walk           , 0.218 ,      ,      , 
  1.354930176, Walk           , 0.174 ,      ,      , 
  1.362630144, Walk           , 0.126 ,      ,      , 
  1.370330112, Walk           , 0.109 ,      ,      , 
  1.37803008 , Walk           , 0.104 ,      ,      , 
  1.385730048, Walk           , 0.077 ,      ,      , 
  1.393420032, Walk           , 0.012 ,      ,      , 
  1.40112    , Walk           , -0.057,      ,      , 
  1.408819968, Walk           , -0.091,      ,      , 
  1.416520192, Walk           , -0.096,      ,      , 
  1.419      , Walk           ,       ,      ,      , 
  1.42422016 , Walk           , -0.104,      ,      , 
  1.431920128, Walk           , -0.109,      ,      , 
  1.439620096, Walk           , -0.099,      ,      , 
  1.44731008 , Walk           , -0.074,      ,      , 
  1.455010048, Walk           , -0.057,      ,      , 
  1.462710016, Walk           , -0.052,      ,      , 
  1.470409984, Walk           , -0.037,      ,      , 
  1.478110208, Walk           , -0.024,      ,      , 
  1.485810176, Walk           , -0.032,      ,      , 
  1.493510144, Walk           , -0.004,      ,      , 
  1.501200128, Walk           , 0.034 ,      ,      , 
  1.503      , Walk           ,       ,      ,      , 
  1.508900096, Walk           , 0.007 ,      ,      , 
  1.516600064, Walk           , -0.007,      ,      , 
  1.524300032, Walk           , 0.047 ,      ,      , 
  1.532      , Walk           , 0.077 ,      ,      , 
  1.539699968, Walk           , 0.069 ,      ,      , 
  1.547400192, Walk           , 0.077 ,      ,      , 
  1.555090176, Walk           , 0.072 ,      ,      , 
  1.562790144, Walk           , 0.044 ,      ,      , 
  1.570490112, Walk           , 0.027 ,      ,      , 
  1.57819008 , Walk           , 0.012 ,      ,      , 
  1.585890048, Walk           , 0.012 ,      ,      , 
  1.586      , Walk           ,       ,      ,      , 
  1.593590016, Walk           , 0.024 ,      ,      , 
  1.601289984, Walk           , 0.004 ,      ,      , 
  1.608990208, Walk           , -0.022,      ,      , 
  1.616680192, Walk           , -0.017,      ,      , 
  1.62438016 , Walk           , -0.002,      ,      , 
  1.632080128, Walk           , 0.019 ,      ,      , 
  1.639780096, Walk           , 0.029 ,      ,      , 
  1.647480064, Walk           , 0.029 ,      ,      , 
  1.655180032, Walk           , 0.037 ,      ,      , 
  1.66288    , Walk           , 0.054 ,      ,      , 
  1.67       , Walk           ,       ,      ,      , 
  1.670569984, Walk           , 0.064 ,      ,      , 
  1.678269952, Walk           , 0.079 ,      ,      , 
  1.685970176, Walk           , 0.089 ,      ,      , 
  1.693670144, Walk           , 0.064 ,      ,      , 
  1.701370112, Walk           , 0.052 ,      ,      , 
  1.70907008 , Walk           , 0.087 ,      ,      , 
  1.716770048, Walk           , 0.111 ,      ,      , 
  1.724460032, Walk           , 0.057 ,      ,      , 
  1.73216    , Walk           , -0.002,      ,      , 
  1.739859968, Walk           , 0.166 ,      ,      , 
  1.747560192, Walk           , 0.716 ,      ,      , 
  1.753      , Walk           ,       ,      ,      , 
  1.75526016 , Walk           , 1.379 ,      ,      , 
  1.762960128, Walk           , 1.538 ,      ,      , 
  1.770650112, Walk           , 0.808 ,      ,      , 
  1.77835008 , Walk           , -0.084,      ,      , 
  1.786050048, Walk           , -0.136,      ,      , 
  1.793750016, Walk           , 0.116 ,      ,      , 
  1.801449984, Walk           , -0.007,      ,      , 
  1.809149952, Walk           , -0.114,      ,      , 
  1.816850176, Walk           , -0.032,      ,      , 
  1.82454016 , Walk           , -0.004,      ,      , 
  1.832240128, Walk           , -0.002,      ,      , 
  1.837      , Walk           ,       ,      ,      , 
  1.839940096, Walk           , 0.029 ,      ,      , 
  1.847640064, Walk           , 0.019 ,      ,      , 
  1.855340032, Walk           , 0.0   ,      ,      , 
  1.86304    , Walk           , 0.019 ,      ,      , 
  1.870739968, Walk           , 0.034 ,      ,      , 
  1.878430208, Walk           , 0.057 ,      ,      , 
  1.886130176, Walk           , 0.091 ,      ,      , 
