norm_time,Character_status,ecg,hr,rr,marker
3.255278744,Walk,0.242,,,
3.262974366,Walk,0.216,,,
3.270669988,Walk,0.197,,,
3.27836561,Walk,0.17,,,
3.286061232,Walk,0.127,,,
3.293756854,Walk,0.081,,,
3.301452476,Walk,0.04,,,
3.309148098,Walk,0.016,,,
3.31684372,Walk,-0.002,,,
3.324539342,Walk,-0.024,,,
3.332234964,Walk,-0.05,,,
3.333,Walk,,,,
3.339930586,Walk,-0.072,,,
3.347626208,Walk,-0.055,,,
3.35532183,Walk,-0.028,,,
3.363017452,Walk,-0.033,,,
3.3707131,Walk,-0.04,,,
3.37840914,Walk,-0.024,,,
3.38610518,Walk,-0.004,,,
3.39380122,Walk,0.004,,,
3.40149726,Walk,0.007,,,
3.4091933,Walk,0.0,,,
3.416,Walk,,,,
3.41688934,Walk,0.002,,,
3.42458538,Walk,0.012,,,
3.43228142,Walk,0.012,,,
3.43997746,Walk,0.007,,,
3.4476735,Walk,0.016,,,
3.45536954,Walk,0.019,,,
3.46306558,Walk,0.0,,,
3.47076162,Walk,-0.009,,,
3.47845766,Walk,-0.004,,,
3.4861537,Walk,-0.009,,,
3.49384974,Walk,-0.012,,,
3.499,Walk,,,,
3.50154578,Walk,-0.009,,,
3.50924182,Walk,-0.009,,,
3.51693786,Walk,-0.009,,,
3.5246339,Walk,-0.004,,,
3.53232994,Walk,0.002,,,
3.54002598,Walk,0.002,,,
3.54772202,Walk,-0.002,,,
3.55541806,Walk,-0.002,,,
3.5631141,Walk,0.024,,,
3.57081014,Walk,0.064,,,
3.57850618,Walk,0.079,,,
3.582,Walk,,,,
3.58620222,Walk,0.081,,,
3.59389826,Walk,0.088,,,
3.6015943,Walk,0.072,,,
3.60929034,Walk,0.038,,,
3.61698638,Walk,0.024,,,
3.62468242,Walk,0.036,,,
3.63237846,Walk,0.05,,,
3.6400745,Walk,0.05,,,
3.64777054,Walk,0.055,,,
3.65546658,Walk,0.067,,,
3.66316262,Walk,0.067,,,
3.666,Walk,,,,
3.67085866,Walk,0.067,,,
3.6785547,Walk,0.117,,,
3.68625074,Walk,0.372,,,
3.69394678,Walk,0.923,,,
3.70164282,Walk,1.161,,,
3.70933886,Walk,0.298,,,
3.7170349,Walk,-0.786,,,
3.72473094,Walk,-0.685,,,
3.73242698,Walk,-0.117,,,
3.74012302,Walk,-0.052,,,
3.74781906,Walk,-0.038,,,
3.749,Walk,,,,
3.7555151,Walk,0.12,,,
3.76321114,Walk,0.134,,,
3.77090718,Walk,0.125,,,
3.77860322,Walk,0.197,,,
3.78629926,Walk,0.216,,,
3.7939953,Walk,0.197,,,
3.80169134,Walk,0.216,,,
3.80938738,Walk,0.24,,,
3.81708342,Walk,0.24,,,
3.82477946,Walk,0.238,,,
3.832,Walk,,,,
3.8324755,Walk,0.245,,,
3.84017154,Walk,0.254,,,
3.84786758,Walk,0.276,,,
3.85556362,Walk,0.295,,,
3.86325966,Walk,0.303,,,
3.8709557,Walk,0.327,,,
3.87865174,Walk,0.353,,,
3.88634778,Walk,0.358,,,
3.89404382,Walk,0.353,,,
3.90173986,Walk,0.346,,,
3.9094359,Walk,0.327,,,
