norm_time,CharacterStatus,ECG,HR,RR,Marker
3.233370112,,-0.106,,,
3.24107008,,-0.096,,,
3.248760064,,-0.087,,,
3.256460032,,-0.054,,,
3.26416,,-0.049,,,
3.271859968,,-0.057,,,
3.279560192,,-0.047,,,
3.28726016,,-0.044,,,
3.294950144,,-0.044,,,
3.302650112,,-0.027,,,
3.31035008,,-0.007,,,
3.318050048,,0.0,,,
3.325750016,,0.009,,,
3.333449984,,0.027,,,
3.341139968,,0.042,,,
3.348840192,,0.039,,,
3.35654016,,0.014,,,
3.364240128,,-0.009,,,
3.371940096,,-0.012,,,
3.379640064,,0.007,,,
3.387330048,,0.017,,,
3.395030016,,0.012,,,
3.402729984,,0.009,,,
3.410429952,,0.004,,,
3.418130176,,0.007,,,
3.425830144,,0.014,,,
3.433520128,,-0.019,,,
3.441220096,,-0.059,,,
3.448920064,,-0.027,,,
3.456620032,,0.009,,,
3.46432,,-0.019,,,
3.472019968,,-0.039,,,
3.479710208,,-0.017,,,
3.487410176,,-0.007,,,
3.495110144,,-0.014,,,
3.502810112,,-0.019,,,
3.51051008,,-0.039,,,
3.518210048,,-0.062,,,
3.525900032,,-0.067,,,
3.5336,,-0.069,,,
3.541299968,,0.136,,,
3.549000192,,0.755,,,
3.55670016,,1.379,,,
3.564400128,,1.28,,,
3.572090112,,0.35,,,
3.57979008,,-0.323,,,
3.587490048,,-0.106,,,
3.595190016,,0.062,,,
3.602889984,,-0.146,,,
3.610579968,,-0.156,,,
3.618280192,,-0.054,,,
3.62598016,,-0.067,,,
3.633680128,,-0.064,,,
3.641380096,,-0.019,,,
3.649080064,,-0.007,,,
3.656770048,,0.007,,,
3.664470016,,0.039,,,
3.672169984,,0.057,,,
3.679869952,,0.064,,,
3.687570176,,0.089,,,
3.695270144,,0.134,,,
3.702960128,,0.179,,,
3.710660096,,0.174,,,
3.718360064,,0.144,,,
3.726060032,,0.183,,,
3.73376,,0.248,,,
3.741459968,,0.251,,,
3.749150208,,0.236,,,
3.756850176,,0.243,,,
3.764550144,,0.246,,,
3.772250112,,0.221,,,
3.77995008,,0.169,,,
3.787650048,,0.104,,,
3.795340032,,0.049,,,
3.80304,,-0.002,,,
3.810739968,,-0.044,,,
3.818440192,,-0.062,,,
3.82614016,,-0.062,,,
3.833830144,,-0.062,,,
3.841530112,,-0.062,,,
3.84923008,,-0.052,,,
3.856930048,,-0.037,,,
3.864630016,,-0.019,,,
3.872329984,,-0.019,,,
3.880019968,,-0.059,,,
3.887720192,,-0.059,,,
3.89542016,,-0.017,,,
3.903120128,,-0.002,,,
3.910820096,,0.004,,,
3.918520064,,0.012,,,
3.926210048,,0.004,,,
3.933910016,,0.019,97.0,604.0,
3.941609984,,0.044,,,
3.949309952,,0.032,,,
3.957010176,,0.017,,,
3.964710144,,0.039,,,
3.972400128,,0.069,,,
3.980100096,,0.054,,,
3.987800064,,0.014,,,
3.995500032,,0.009,,,
4.0032,,0.032,,,
4.010899968,,0.039,,,
4.018600192,,0.042,,,
4.026290176,,0.037,,,
4.033990144,,0.027,,,
4.041690112,,0.029,,,
4.04939008,,0.042,,,
4.057090048,,0.057,,,
4.064790016,,0.052,,,
4.072489984,,0.042,,,
4.080179968,,0.047,,,
4.087880192,,0.049,,,
4.09558016,,0.052,,,
4.103280128,,0.042,,,
4.110980096,,0.027,,,
4.118680064,,0.024,,,
4.126380032,,0.017,,,
4.134070016,,-0.024,,,
4.141769984,,0.106,,,
4.149470208,,0.653,,,
4.157170176,,1.359,,,
4.164870144,,1.551,,,
