norm_time,Character_status,ecg,hr,rr,marker
3.408544062,Walk,0.063,,,
3.415,Walk,,,,
3.41623843,Walk,0.063,,,
3.423932798,Walk,0.034,,,
3.431627166,Walk,0.007,,,
3.439321534,Walk,0.026,,,
3.447015902,Walk,0.061,,,
3.45471027,Walk,0.102,,,
3.462404638,Walk,0.112,,,
3.470099006,Walk,0.088,,,
3.477793374,Walk,0.08,,,
3.485487742,Walk,0.08,,,
3.49318211,Walk,0.085,,,
3.498,Walk,,,,
3.500876478,Walk,0.095,,,
3.508570846,Walk,0.095,,,
3.516265214,Walk,0.102,,,
3.523959582,Walk,0.097,,,
3.53165395,Walk,0.09,,,
3.539348318,Walk,0.039,,,
3.547042686,Walk,-0.097,,,
3.554737054,Walk,-0.036,,,
3.562431422,Walk,0.628,,,
3.57012579,Walk,1.702,,,
3.577820158,Walk,2.13,,,
3.58,Walk,,,,
3.585514526,Walk,1.254,,,
3.593208894,Walk,0.107,,,
3.600903262,Walk,-0.136,,,
3.60859763,Walk,0.041,,,
3.616291998,Walk,-0.056,,,
3.623986366,Walk,-0.171,,,
3.631680734,Walk,-0.1,,,
3.639375102,Walk,-0.07,,,
3.64706947,Walk,-0.1,,,
3.654763838,Walk,-0.068,,,
3.662458206,Walk,-0.056,,,
3.664,Walk,,,,
3.670152574,Walk,-0.08,,,
3.677846942,Walk,-0.058,,,
3.68554131,Walk,-0.036,,,
3.693235678,Walk,-0.031,,,
3.700930046,Walk,-0.019,,,
3.708624414,Walk,-0.007,,,
3.716318782,Walk,0.012,,,
3.72401315,Walk,0.012,,,
3.731707518,Walk,0.012,,,
3.739401886,Walk,0.029,,,
3.747,Walk,,,,
3.747096254,Walk,0.031,,,
3.754790622,Walk,0.036,,,
3.76248499,Walk,0.041,,,
3.770179358,Walk,0.046,,,
3.777873726,Walk,0.058,,,
3.785568094,Walk,0.053,,,
3.793262462,Walk,0.061,,,
3.80095683,Walk,0.085,,,
3.808651198,Walk,0.08,,,
3.816345566,Walk,0.058,,,
3.824039934,Walk,0.034,,,
3.831,Walk,,,,
3.831734302,Walk,0.019,,,
3.83942867,Walk,0.017,,,
3.847123038,Walk,0.0,,,
3.854817406,Walk,0.002,,,
3.862511774,Walk,0.002,,,
3.870206142,Walk,-0.012,,,
3.87790051,Walk,-0.002,,,
3.885594878,Walk,0.004,,,
3.893289246,Walk,0.014,,,
3.900983614,Walk,0.019,,,
3.908677982,Walk,0.012,,,
3.914,Walk,,,,
3.91637235,Walk,0.029,,,
3.924066718,Walk,0.036,,,
3.931761098,Walk,0.036,93.0,,
3.939455048,Walk,0.048,,,
3.947148998,Walk,0.044,,,
3.954842948,Walk,0.046,,,
3.962536898,Walk,0.041,,,
3.970230848,Walk,0.024,,,
3.977924798,Walk,0.036,,628.0,
3.985618748,Walk,0.044,,,
3.993312698,Walk,0.031,,,
3.998,Walk,,,,
4.001006648,Walk,0.022,,,
4.008700598,Walk,0.022,,,
4.016394548,Walk,0.041,,,
4.024088498,Walk,0.039,,,
4.031782448,Walk,0.036,,,
4.039476398,Walk,0.053,,,
4.047170348,Walk,0.048,,,
4.054864298,Walk,0.051,,,
4.062558248,Walk,0.063,,,
4.070252198,Walk,0.066,,,
4.077946148,Walk,0.075,,,
4.08,Walk,,,,
4.085640098,Walk,0.07,,,
4.093334048,Walk,0.068,,,
4.101027998,Walk,0.078,,,
4.108721948,Walk,0.073,,,
4.116415898,Walk,0.078,,,
4.124109848,Walk,0.078,,,
4.131803798,Walk,0.078,,,
4.139497748,Walk,0.088,,,
4.147191698,Walk,0.08,,,
4.154885648,Walk,0.085,,,
4.162579598,Walk,0.085,,,
4.164,Walk,,,,
4.170273548,Walk,0.058,,,
4.177967498,Walk,0.031,,,
4.185661448,Walk,0.017,,,
4.193355398,Walk,0.051,,,
4.201049348,Walk,0.095,,,
4.208743298,Walk,0.117,,,
4.216437248,Walk,0.132,,,
4.224131198,Walk,0.107,,,
4.231825148,Walk,0.078,,,
4.239519098,Walk,0.083,,,
4.247213048,Walk,0.088,,,
4.248,Walk,,,,
4.254906998,Walk,0.1,,,
4.262600948,Walk,0.095,,,
4.270294898,Walk,0.08,,,
4.277988848,Walk,0.085,,,
4.285682798,Walk,0.056,,,
4.293376748,Walk,-0.053,,,
4.301070698,Walk,-0.122,,,
4.308764648,Walk,0.239,,,
4.316458598,Walk,1.208,,,
4.324152548,Walk,2.015,,,
4.331,Walk,,,,
4.331846498,Walk,1.643,,,
4.339540448,Walk,0.457,,,
4.347234398,Walk,-0.161,,,
4.354928348,Walk,0.004,,,
4.362622298,Walk,0.024,,,
4.370316248,Walk,-0.151,,,
4.378010198,Walk,-0.107,,,
4.385704148,Walk,-0.051,,,
4.393398098,Walk,-0.083,,,
4.401092048,Walk,-0.066,,,
4.408785998,Walk,-0.039,,,
4.414,Walk,,,,
4.416479948,Walk,-0.041,,,
4.424173898,Walk,-0.046,,,
4.431867848,Walk,-0.026,,,
4.439561798,Walk,-0.012,,,
4.447255748,Walk,-0.024,,,
4.454949698,Walk,-0.007,,,
4.462643648,Walk,0.007,,,
4.470337598,Walk,0.007,,,
4.478031548,Walk,0.022,,,
4.485725498,Walk,0.031,,,
4.493419458,Walk,0.046,,,
4.497,Walk,,,,
4.501113826,Walk,0.056,,,
4.508808194,Walk,0.056,,,
4.516502562,Walk,0.073,,,
4.52419693,Walk,0.078,,,
4.531891298,Walk,0.078,,,
4.539585666,Walk,0.088,,,
4.547280034,Walk,0.092,,,
4.554974402,Walk,0.105,,,
4.56266877,Walk,0.1,,,
4.570363138,Walk,0.073,,,
4.578057506,Walk,0.063,,,
4.58,Walk,,,,
4.585751874,Walk,0.046,,,
4.593446242,Walk,0.034,,,
4.60114061,Walk,0.029,,,
4.608834978,Walk,0.009,,,
4.616529346,Walk,0.017,,,
4.624223714,Walk,0.012,,,
4.631918082,Walk,0.0,,,
4.63961245,Walk,0.017,,,
4.647306818,Walk,0.019,,666.0,
4.655001186,Walk,0.017,,,
4.662695554,Walk,0.014,,,
4.663,Walk,,,,
4.670389922,Walk,0.022,,,
4.67808429,Walk,0.026,,,
4.685778658,Walk,0.002,,,
4.693473026,Walk,0.004,,,
4.701167394,Walk,0.026,,,
4.708861762,Walk,0.022,,,
4.71655613,Walk,0.029,,,
4.724250498,Walk,0.031,,,
4.731944866,Walk,0.034,,,
4.739639234,Walk,0.044,,,
4.747,Walk,,,,
4.747333602,Walk,0.039,,,
4.75502797,Walk,0.048,,,
4.762722338,Walk,0.056,,,
4.770416706,Walk,0.051,,,
4.778111074,Walk,0.058,,,
4.785805442,Walk,0.053,,,
4.79349981,Walk,0.061,,,
4.801194178,Walk,0.07,,,
4.808888546,Walk,0.063,,,
4.816582914,Walk,0.075,,,
4.824277282,Walk,0.078,,,
4.831,Walk,,,,
4.83197165,Walk,0.073,,,
4.839666018,Walk,0.078,,,
4.847360386,Walk,0.073,,,
4.855054754,Walk,0.078,,,
4.862749122,Walk,0.078,,,
4.87044349,Walk,0.07,,,
4.878137858,Walk,0.083,,,
4.885832226,Walk,0.083,,,
4.893526594,Walk,0.085,,,
4.901220962,Walk,0.09,,,
4.90891533,Walk,0.085,,,
4.913,Walk,,,,
4.916609698,Walk,0.092,,,
4.924304066,Walk,0.073,,,
4.931998434,Walk,0.051,,,
4.939692802,Walk,0.058,,,
4.94738717,Walk,0.073,,,
4.955081538,Walk,0.11,,,
4.962775906,Walk,0.141,,,
4.970470274,Walk,0.134,,,
4.978164642,Walk,0.11,,,
4.98585901,Walk,0.085,,,
4.993553378,Walk,0.09,,,
4.997,Walk,,,,
5.001247746,Walk,0.105,,,
5.008942114,Walk,0.097,,,
5.016636482,Walk,0.095,,,
5.02433085,Walk,0.095,,,
5.026,Walk,,,,
5.026,Walk,,,,
5.032025218,Walk,0.095,,,
5.039719586,Walk,0.068,,,
5.047413954,Walk,-0.056,,,
5.055108334,Walk,-0.095,92.0,,
5.062802702,Walk,0.342,,,
5.07049707,Walk,1.34,,,
5.078191438,Walk,2.073,,,
5.085885806,Walk,1.574,,,
5.093580174,Walk,0.376,,,
5.094,Walk,,,,
5.101274542,Walk,-0.176,,,
5.10896891,Walk,-0.039,,,
5.116663278,Walk,-0.031,,,
5.124357646,Walk,-0.18,,,
5.132052014,Walk,-0.149,,,
5.139746382,Walk,-0.095,,,
5.14744075,Walk,-0.132,,,
5.155135118,Walk,-0.112,,,
5.162829486,Walk,-0.078,,,
5.170523854,Walk,-0.08,,,
5.177,Walk,,,,
5.178218222,Walk,-0.066,,,
5.18591259,Walk,-0.058,,,
5.193606958,Walk,-0.068,,,
5.201301326,Walk,-0.058,,,
5.208995694,Walk,-0.036,,,
5.216690062,Walk,-0.014,,,
5.22438443,Walk,-0.012,,,
5.232078798,Walk,-0.002,,,
5.239773166,Walk,0.019,,,
5.247467534,Walk,0.019,,,
5.255161902,Walk,0.031,,,
5.26,Walk,,,,
5.26285627,Walk,0.048,,,
5.270550638,Walk,0.053,,,
5.278245006,Walk,0.07,,,
5.285939374,Walk,0.07,,,
5.293633742,Walk,0.075,,,
5.30132811,Walk,0.095,,,
5.309022478,Walk,0.1,,,
5.316716846,Walk,0.092,,,
5.324411214,Walk,0.068,,,
5.332105582,Walk,0.046,,,
5.33979995,Walk,0.034,,691.0,
5.342,Walk,,,,
5.347494318,Walk,0.009,,,
5.355188686,Walk,0.009,,,
5.362883054,Walk,0.017,,,
5.370577422,Walk,0.014,,,
5.37827179,Walk,0.022,,,
5.385966158,Walk,0.019,,,
5.393660526,Walk,0.031,,,
5.401354894,Walk,0.041,,,
5.409049262,Walk,0.034,,,
5.41674363,Walk,0.046,,,
5.424437998,Walk,0.051,,,
5.426,Walk,,,,
5.432132366,Walk,0.046,,,
5.439826734,Walk,0.053,,,
5.447521102,Walk,0.056,,,
5.45521547,Walk,0.068,,,
5.462909838,Walk,0.07,,,
5.470604206,Walk,0.066,,,
5.478298574,Walk,0.078,,,
5.485992942,Walk,0.075,,,
5.49368731,Walk,0.075,,,
5.501381678,Walk,0.083,,,
5.509076046,Walk,0.08,,,
5.51,Walk,,,,
5.516770414,Walk,0.088,,,
5.524464782,Walk,0.083,,,
5.53215915,Walk,0.08,,,
5.539853518,Walk,0.095,,,
5.547547886,Walk,0.095,,,
5.555242254,Walk,0.1,,,
5.562936622,Walk,0.097,,,
5.57063099,Walk,0.09,,,
5.578325358,Walk,0.105,,,
5.586019726,Walk,0.092,,,
5.593714094,Walk,0.078,,,
5.594,Walk,,,,
5.601408462,Walk,0.083,,,
5.60910283,Walk,0.083,,,
5.61679721,Walk,0.083,,,
5.624491299,Walk,0.073,,,
5.632185388,Walk,0.075,,,
5.639879477,Walk,0.09,,,
5.647573566,Walk,0.083,,,
5.655267655,Walk,0.088,,,
5.662961744,Walk,0.085,,,
5.670655833,Walk,0.066,,,
5.676,Walk,,,,
5.678349922,Walk,0.046,,,
5.686044011,Walk,0.019,,,
5.6937381,Walk,0.024,,,
5.701432189,Walk,0.048,,,
5.709126278,Walk,0.073,,,
5.716820367,Walk,0.112,,,
5.724514456,Walk,0.102,,,
5.732208545,Walk,0.068,,,
5.739902634,Walk,0.056,,,
5.747596723,Walk,0.053,,,
5.755290812,Walk,0.061,,,
5.759,Walk,,,,
5.762984901,Walk,0.053,,,
5.77067899,Walk,0.039,,,
5.778373079,Walk,0.051,,,
5.786067168,Walk,0.039,,,
5.793761257,Walk,-0.029,,,
5.801455346,Walk,-0.139,,,
5.809149435,Walk,-0.031,,,
5.816843524,Walk,0.652,,,
