Avatar,id,Animation,Rating
robot,17,RightHandToFace,2
robot,18,RightHandToFace,3
robot,19,RightHandToFace,2
robot,20,RightHandToFace,1
robot,21,RightHandToFace,4
robot,22,RightHandToFace,3
robot,23,RightHandToFace,2
robot,24,RightHandToFace,2
robot,25,RightHandToFace,5
robot,26,RightHandToFace,2
robot,27,RightHandToFace,4
robot,28,RightHandToFace,3
robot,29,RightHandToFace,3
robot,30,RightHandToFace,1
robot,31,RightHandToFace,2
woman,1,RightHandToFace,4
woman,2,RightHandToFace,1
woman,3,RightHandToFace,1
woman,4,RightHandToFace,3
woman,5,RightHandToFace,2
woman,6,RightHandToFace,1
woman,7,RightHandToFace,1
woman,8,RightHandToFace,4
woman,9,RightHandToFace,2
woman,10,RightHandToFace,2
woman,11,RightHandToFace,2
woman,12,RightHandToFace,2
woman,13,RightHandToFace,3
woman,14,RightHandToFace,2
woman,15,RightHandToFace,3
woman,16,RightHandToFace,4
woman,17,RightHandToFace,1
woman,18,RightHandToFace,4
woman,19,RightHandToFace,2
woman,20,RightHandToFace,1
woman,21,RightHandToFace,5
woman,22,RightHandToFace,3
woman,23,RightHandToFace,2
woman,24,RightHandToFace,2
woman,25,RightHandToFace,1
woman,26,RightHandToFace,1
woman,27,RightHandToFace,2
woman,28,RightHandToFace,4
woman,29,RightHandToFace,1
woman,30,RightHandToFace,1
woman,31,RightHandToFace,2
man,1,LeftHandToBody,4
man,2,LeftHandToBody,4
man,3,LeftHandToBody,3
man,4,LeftHandToBody,3
man,5,LeftHandToBody,2
man,6,LeftHandToBody,3
man,7,LeftHandToBody,4
man,8,LeftHandToBody,4
man,9,LeftHandToBody,1
man,10,LeftHandToBody,3
man,11,LeftHandToBody,3
man,12,LeftHandToBody,2
man,13,LeftHandToBody,4
man,14,LeftHandToBody,4
man,15,LeftHandToBody,3
man,16,LeftHandToBody,4
man,17,LeftHandToBody,2
man,18,LeftHandToBody,3
man,19,LeftHandToBody,2
man,20,LeftHandToBody,1
man,21,LeftHandToBody,5
man,22,LeftHandToBody,3
man,23,LeftHandToBody,2
man,24,LeftHandToBody,1
man,25,LeftHandToBody,4
man,26,LeftHandToBody,3
man,27,LeftHandToBody,4
man,28,LeftHandToBody,4
man,29,LeftHandToBody,3
man,30,LeftHandToBody,1
man,31,LeftHandToBody,3
robot,1,LeftHandToBody,4
robot,2,LeftHandToBody,1
robot,3,LeftHandToBody,1
robot,4,LeftHandToBody,3
robot,5,LeftHandToBody,2
robot,6,LeftHandToBody,4
robot,7,LeftHandToBody,5
robot,8,LeftHandToBody,3
robot,9,LeftHandToBody,2
robot,10,LeftHandToBody,2
robot,11,LeftHandToBody,3
robot,12,LeftHandToBody,4
robot,13,LeftHandToBody,2
robot,14,LeftHandToBody,3
robot,15,LeftHandToBody,3
robot,16,LeftHandToBody,4
robot,17,LeftHandToBody,3
robot,18,LeftHandToBody,4
robot,19,LeftHandToBody,2
robot,20,LeftHandToBody,1
robot,21,LeftHandToBody,3
robot,22,LeftHandToBody,3
robot,23,LeftHandToBody,2
robot,24,LeftHandToBody,1
