Avatar,id,Animation,Rating
man,20,LetfHandToBody,1.6337332972014198
man,21,LetfHandToBody,1.9964284227728064
man,22,LetfHandToBody,0.5531634727409139
man,23,LetfHandToBody,1.3038476932306973
man,24,LetfHandToBody,9.452493152944449
man,25,LetfHandToBody,0.7045906735088304
man,26,LetfHandToBody,0.4099424168481397
man,27,LetfHandToBody,2.034982917811372
man,28,LetfHandToBody,1.3664174722635951
man,29,LetfHandToBody,1.2421327299546316
man,30,LetfHandToBody,0.5960579123141239
man,31,LetfHandToBody,3.380746642945016
robot,1,LetfHandToBody,1.0002213266406748
robot,2,LetfHandToBody,0.2759644945298128
robot,3,LetfHandToBody,4.57859684344674
robot,4,LetfHandToBody,5.584255854756414
robot,5,LetfHandToBody,0.9317926483696536
robot,6,LetfHandToBody,2.876427029499509
robot,7,LetfHandToBody,7.791539572088152
robot,8,LetfHandToBody,1.46434105417781
robot,9,LetfHandToBody,2.3931888648933075
robot,10,LetfHandToBody,1.04604969620717
robot,11,LetfHandToBody,1.142050908367918
robot,12,LetfHandToBody,3.308515556858396
robot,13,LetfHandToBody,0.9795789648888462
robot,14,LetfHandToBody,0.7765002803282888
robot,15,LetfHandToBody,0.2754805325022761
robot,16,LetfHandToBody,5.340845297117604
robot,17,LetfHandToBody,4.2688687859321695
robot,18,LetfHandToBody,3.21338338869946
robot,19,LetfHandToBody,3.404507309966503
robot,20,LetfHandToBody,3.316334370284513
robot,21,LetfHandToBody,4.925313556256376
robot,22,LetfHandToBody,1.87085786956627
robot,23,LetfHandToBody,0.85325252108436
robot,24,LetfHandToBody,3.090937175028999
robot,25,LetfHandToBody,1.2761546637159882
robot,26,LetfHandToBody,0.3788601733116748
robot,27,LetfHandToBody,1.1847960779074018
robot,28,LetfHandToBody,1.2764658411494294
robot,29,LetfHandToBody,1.2548492076286022
robot,30,LetfHandToBody,4.592542384497921
robot,31,LetfHandToBody,3.1689994901546075
woman,1,LetfHandToBody,0.860548452426514
woman,2,LetfHandToBody,0.1864694068604986
woman,3,LetfHandToBody,3.5940867095554023
woman,4,LetfHandToBody,4.093639064675809
woman,5,LetfHandToBody,2.212087378785414
woman,6,LetfHandToBody,1.590156197326519
woman,7,LetfHandToBody,11.280675631962476
woman,8,LetfHandToBody,3.437935745926952
woman,9,LetfHandToBody,2.402867798940415
woman,10,LetfHandToBody,1.4985041684299487
woman,11,LetfHandToBody,2.223762156527816
woman,12,LetfHandToBody,4.36249820799446
woman,13,LetfHandToBody,2.237517595572085
woman,14,LetfHandToBody,7.631069143159133
woman,15,LetfHandToBody,1.2540149417570503
woman,16,LetfHandToBody,6.20477747082882
woman,17,LetfHandToBody,2.876663082973525
woman,18,LetfHandToBody,1.8123037450171025
woman,19,LetfHandToBody,1.6590632255695377
woman,20,LetfHandToBody,6.000403845882079
woman,21,LetfHandToBody,0.6223332056354721
woman,22,LetfHandToBody,0.4961528401916266
woman,23,LetfHandToBody,0.8329712431170514
woman,24,LetfHandToBody,6.974043717144616
woman,25,LetfHandToBody,2.704737731892581
woman,26,LetfHandToBody,1.1179629130281044
woman,27,LetfHandToBody,1.4734997156573415
woman,28,LetfHandToBody,2.330706071233699
woman,29,LetfHandToBody,0.1915233244082888
woman,30,LetfHandToBody,0.97222342040975
woman,31,LetfHandToBody,4.684149458662535
man,1,RightHandToBody,0.5828559327862712
man,2,RightHandToBody,1.8453909413165623
man,3,RightHandToBody,4.037921670062691
man,4,RightHandToBody,3.766534253914436
man,5,RightHandToBody,1.0000476526607116
man,6,RightHandToBody,4.546735196247386
man,7,RightHandToBody,6.6657567670647
man,8,RightHandToBody,2.880960281548607
man,9,RightHandToBody,7.517052159680522
man,10,RightHandToBody,0.9027402053229948
man,11,RightHandToBody,3.0012782464420837
man,12,RightHandToBody,0.6742832681131252
man,13,RightHandToBody,2.3390001613298423
man,14,RightHandToBody,1.002218077082702
man,15,RightHandToBody,0.8607733905059576
man,16,RightHandToBody,7.43733503720182
man,17,RightHandToBody,3.1289598328737735
man,18,RightHandToBody,0.8850417351716761
man,19,RightHandToBody,2.8967916662929536
man,20,RightHandToBody,1.5275223726999891
man,21,RightHandToBody,0.5253530573204276
man,22,RightHandToBody,0.6857763520633768
man,23,RightHandToBody,0.9187325141296864
man,24,RightHandToBody,8.427304408159355
man,25,RightHandToBody,0.3804506211411426
man,26,RightHandToBody,0.391939987902655
man,27,RightHandToBody,1.571591202041813
man,28,RightHandToBody,2.154972047402145
man,29,RightHandToBody,0.4151666630308536
man,30,RightHandToBody,0.6316468156799933
man,31,RightHandToBody,3.9200048612899985
robot,1,RightHandToBody,0.9066577231365264
robot,2,RightHandToBody,0.9361255931612528
robot,3,RightHandToBody,3.0175824804279223
robot,4,RightHandToBody,4.8956908853694285
robot,5,RightHandToBody,1.3490347912760348
robot,6,RightHandToBody,2.9582275633583133
robot,7,RightHandToBody,3.6966325270847418
robot,8,RightHandToBody,1.5428838768318942
robot,9,RightHandToBody,1.792532452721508
robot,10,RightHandToBody,1.246267484338646
robot,11,RightHandToBody,1.3059959416214135
robot,12,RightHandToBody,2.859897535956554
robot,13,RightHandToBody,1.6753906398759957
robot,14,RightHandToBody,0.467434407077689
robot,15,RightHandToBody,0.3207053113927327
robot,16,RightHandToBody,6.992096465201177
robot,17,RightHandToBody,0.7069139179776178
robot,18,RightHandToBody,2.905730864414515
robot,19,RightHandToBody,1.6466801814054453
robot,20,RightHandToBody,5.912124063479414
robot,21,RightHandToBody,4.371612598490498
robot,22,RightHandToBody,1.3064878367473045
